"date","visits"
2019-08-12,40
2019-08-13,42
2019-08-14,41
2019-08-15,40
2019-08-16,37
2019-08-17,34
2019-08-18,4
2019-08-19,47
2019-08-20,49
2019-08-21,38
2019-08-22,61
2019-08-23,39
2019-08-24,42
2019-08-26,46
2019-08-27,58
2019-08-28,44
2019-08-29,53
2019-08-30,51
2019-08-31,34
2019-09-02,44
2019-09-03,42
2019-09-04,43
2019-09-05,40
2019-09-06,41
2019-09-07,44
2019-09-09,60
2019-09-10,70
2019-09-11,36
2019-09-12,47
2019-09-13,42
2019-09-14,48
2019-09-16,64
2019-09-17,47
2019-09-18,53
2019-09-19,52
2019-09-20,51
2019-09-21,40
2019-09-23,42
2019-09-24,50
2019-09-25,44
2019-09-26,56
2019-09-27,59
2019-09-28,44
2019-09-30,65
2019-10-01,54
2019-10-02,52
2019-10-03,43
2019-10-04,37
2019-10-05,41
2019-10-07,59
2019-10-08,50
2019-10-09,51
2019-10-10,50
2019-10-11,39
2019-10-12,42
2019-10-14,59
2019-10-15,60
2019-10-16,46
2019-10-17,44
2019-10-18,53
2019-10-19,31
2019-10-20,4
2019-10-21,37
2019-10-22,70
2019-10-23,59
2019-10-24,50
2019-10-25,39
2019-10-26,38
2019-10-28,50
2019-10-29,50
2019-10-30,39
2019-10-31,52
2019-11-01,55
2019-11-02,40
2019-11-04,44
2019-11-05,44
2019-11-06,49
2019-11-07,51
2019-11-08,54
2019-11-09,38
2019-11-11,41
2019-11-12,48
2019-11-13,45
2019-11-14,41
2019-11-15,45
2019-11-16,32
2019-11-18,39
2019-11-19,43
2019-11-20,48
2019-11-21,51
2019-11-22,46
2019-11-23,40
2019-11-25,32
2019-11-26,47
2019-11-27,57
2019-11-28,47
2019-11-29,58
2019-11-30,34
2019-12-02,50
2019-12-03,50
2019-12-04,46
2019-12-05,52
2019-12-06,53
2019-12-07,31
2019-12-09,49
2019-12-10,40
2019-12-11,42
2019-12-12,48
2019-12-13,36
2019-12-14,34
2019-12-16,41
2019-12-17,46
2019-12-18,50
2019-12-19,37
2019-12-20,60
2019-12-21,42
2019-12-23,57
2019-12-24,39
2019-12-25,60
2019-12-26,49
2019-12-27,32
2019-12-28,38
2019-12-30,48
2019-12-31,46
2020-01-01,35
2020-01-02,56
2020-01-03,36
2020-01-04,45
2020-01-06,36
2020-01-07,55
2020-01-08,44
2020-01-09,47
2020-01-10,33
2020-01-11,28
2020-01-13,56
2020-01-14,48
2020-01-15,51
2020-01-16,55
2020-01-17,47
2020-01-18,35
2020-01-20,39
2020-01-21,46
2020-01-22,34
2020-01-23,50
2020-01-24,38
2020-01-25,34
2020-01-27,40
2020-01-28,40
2020-01-29,44
2020-01-30,40
2020-01-31,45
2020-02-01,38
2020-02-03,48
2020-02-04,37
2020-02-05,64
2020-02-06,51
2020-02-07,44
2020-02-08,24
2020-02-10,49
2020-02-11,48
2020-02-12,40
2020-02-13,35
2020-02-14,36
2020-02-15,32
2020-02-17,42
2020-02-18,39
2020-02-19,31
2020-02-20,37
2020-02-21,33
2020-02-22,32
2020-02-23,5
2020-02-24,35
2020-02-25,53
2020-02-26,50
2020-02-27,39
2020-02-28,37
2020-02-29,26
2020-03-02,51
2020-03-03,33
2020-03-04,33
2020-03-05,47
2020-03-06,41
2020-03-07,28
2020-03-09,40
2020-03-10,34
2020-03-11,43
2020-03-12,42
2020-03-13,39
2020-03-14,23
2020-03-16,45
2020-03-17,45
2020-03-18,48
2020-03-19,37
2020-03-20,40
2020-03-21,25
2020-03-23,35
2020-03-24,39
2020-03-25,44
2020-03-26,38
2020-03-27,37
2020-03-28,30
2020-03-30,47
2020-03-31,39
2020-04-01,40
2020-04-02,42
2020-04-03,26
2020-04-04,22
2020-04-06,40
2020-04-07,38
2020-04-08,32
2020-04-09,40
2020-04-10,46
2020-04-11,26
2020-04-13,46
2020-04-14,48
2020-04-15,35
2020-04-16,40
2020-04-17,42
2020-04-18,37
2020-04-20,36
2020-04-21,26
2020-04-22,28
2020-04-23,35
2020-04-24,42
2020-04-25,24
2020-04-27,38
2020-04-28,34
2020-04-29,41
2020-04-30,29
2020-05-01,29
2020-05-02,38
2020-05-03,4
2020-05-04,39
2020-05-05,41
2020-05-06,34
2020-05-07,35
2020-05-08,39
2020-05-09,25
2020-05-11,34
2020-05-12,35
2020-05-13,44
2020-05-14,38
2020-05-15,37
2020-05-16,35
2020-05-18,33
2020-05-19,38
2020-05-20,40
2020-05-21,37
2020-05-22,42
2020-05-23,28
2020-05-25,52
2020-05-26,31
2020-05-27,49
2020-05-28,43
2020-05-29,53
2020-05-30,29
2020-05-31,4
2020-06-01,38
2020-06-02,39
2020-06-03,42
2020-06-04,40
2020-06-05,43
2020-06-06,36
2020-06-08,38
2020-06-09,48
2020-06-10,53
2020-06-11,46
2020-06-12,39
2020-06-13,33
2020-06-15,49
2020-06-16,53
2020-06-17,50
2020-06-18,52
2020-06-19,50
2020-06-20,41
2020-06-22,48
2020-06-23,46
2020-06-24,44
2020-06-25,43
2020-06-26,55
2020-06-27,30
2020-06-29,46
2020-06-30,32
2020-07-01,40
2020-07-02,44
2020-07-03,47
2020-07-04,28
2020-07-06,37
2020-07-07,43
2020-07-08,51
2020-07-09,47
2020-07-10,43
2020-07-11,28
2020-07-12,4
2020-07-13,46
2020-07-14,55
2020-07-15,56
2020-07-16,51
2020-07-17,40
2020-07-18,33
2020-07-20,45
2020-07-21,46
2020-07-22,49
2020-07-23,53
2020-07-24,50
2020-07-25,40
2020-07-26,6
2020-07-27,41
2020-07-28,42
2020-07-29,62
2020-07-30,30
2020-07-31,49
2020-08-01,27
2020-08-03,66
2020-08-04,46
2020-08-05,48
2020-08-06,47
2020-08-07,48
2020-08-08,45
2020-08-10,56
2020-08-11,49
2020-08-12,46
2020-08-13,48
2020-08-14,48
2020-08-15,33
2020-08-17,46
2020-08-18,47
2020-08-19,58
2020-08-20,51
2020-08-21,40
2020-08-22,42
2020-08-23,2
2020-08-24,57
2020-08-25,52
2020-08-26,55
2020-08-27,66
2020-08-28,42
2020-08-29,36
2020-08-31,43
2020-09-01,60
2020-09-02,44
2020-09-03,56
2020-09-04,49
2020-09-05,38
2020-09-07,54
2020-09-08,44
2020-09-09,59
2020-09-10,47
2020-09-11,58
2020-09-12,33
2020-09-14,52
2020-09-15,41
2020-09-16,53
2020-09-17,52
2020-09-18,39
2020-09-19,43
2020-09-21,44
2020-09-22,58
2020-09-23,54
2020-09-24,41
2020-09-25,54
2020-09-26,26
2020-09-28,56
2020-09-29,56
2020-09-30,38
2020-10-01,48
2020-10-02,48
2020-10-03,34
2020-10-05,41
2020-10-06,56
2020-10-07,57
2020-10-08,61
2020-10-09,55
2020-10-10,34
2020-10-12,58
2020-10-13,59
2020-10-14,51
2020-10-15,52
2020-10-16,58
2020-10-17,38
2020-10-19,39
2020-10-20,59
2020-10-21,58
2020-10-22,66
2020-10-23,52
2020-10-24,41
2020-10-26,46
2020-10-27,61
2020-10-28,56
2020-10-29,59
2020-10-30,56
2020-10-31,32
2020-11-02,67
2020-11-03,50
2020-11-04,59
2020-11-05,61
2020-11-06,43
2020-11-07,34
2020-11-09,41
2020-11-10,59
2020-11-11,53
2020-11-12,58
2020-11-13,46
2020-11-14,43
2020-11-16,49
2020-11-17,63
2020-11-18,60
2020-11-19,64
2020-11-20,39
2020-11-21,42
2020-11-23,60
2020-11-24,57
2020-11-25,55
2020-11-26,54
2020-11-27,53
2020-11-28,46
2020-11-30,45
2020-12-01,52
2020-12-02,49
2020-12-03,59
2020-12-04,46
2020-12-05,34
2020-12-07,61
2020-12-08,55
2020-12-09,56
2020-12-10,60
2020-12-11,34
2020-12-12,31
2020-12-14,50
2020-12-15,53
2020-12-16,56
2020-12-17,58
2020-12-18,41
2020-12-19,35
2020-12-21,47
2020-12-22,49
2020-12-23,54
2020-12-24,51
2020-12-25,40
2020-12-26,44
2020-12-28,53
2020-12-29,42
2020-12-30,47
2020-12-31,50
2021-01-01,44
2021-01-02,38
2021-01-04,38
2021-01-05,41
2021-01-06,48
2021-01-07,39
2021-01-08,37
2021-01-09,30
2021-01-11,43
2021-01-12,55
2021-01-13,54
2021-01-14,62
2021-01-15,60
2021-01-16,29
2021-01-18,45
2021-01-19,61
2021-01-20,63
2021-01-21,39
2021-01-22,49
2021-01-23,34
2021-01-25,48
2021-01-26,49
2021-01-27,36
2021-01-28,39
2021-01-29,44
2021-01-30,40
2021-02-01,47
2021-02-02,42
2021-02-03,50
2021-02-04,33
2021-02-05,51
2021-02-06,41
2021-02-08,56
2021-02-09,38
2021-02-10,47
2021-02-11,40
2021-02-12,46
2021-02-13,28
2021-02-15,44
2021-02-16,57
2021-02-17,51
2021-02-18,51
2021-02-19,33
2021-02-20,37
2021-02-22,42
2021-02-23,37
2021-02-24,49
2021-02-25,47
2021-02-26,41
2021-02-27,34
2021-03-01,49
2021-03-02,52
2021-03-03,37
2021-03-04,36
2021-03-05,37
2021-03-06,40
2021-03-08,34
2021-03-09,45
2021-03-10,38
2021-03-11,40
2021-03-12,46
2021-03-13,34
2021-03-14,3
2021-03-15,47
2021-03-16,38
2021-03-17,43
2021-03-18,36
2021-03-19,45
2021-03-20,34
2021-03-22,29
2021-03-23,40
2021-03-24,31
2021-03-25,43
2021-03-26,32
2021-03-27,23
2021-03-29,38
2021-03-30,37
2021-03-31,39
2021-04-01,40
2021-04-02,45
2021-04-03,31
2021-04-04,3
2021-04-05,43
2021-04-06,47
2021-04-07,29
2021-04-08,44
2021-04-09,44
2021-04-10,29
2021-04-11,2
2021-04-12,38
2021-04-13,37
2021-04-14,46
2021-04-15,34
2021-04-16,30
2021-04-17,29
2021-04-19,50
2021-04-20,53
2021-04-21,45
2021-04-22,42
2021-04-23,42
2021-04-24,24
2021-04-26,37
2021-04-27,38
2021-04-28,43
2021-04-29,38
2021-04-30,24
2021-05-01,29
2021-05-02,3
2021-05-03,39
2021-05-04,43
2021-05-05,51
2021-05-06,47
2021-05-07,33
2021-05-08,28
2021-05-10,51
2021-05-11,42
2021-05-12,36
2021-05-13,47
2021-05-14,39
2021-05-15,30
2021-05-17,40
2021-05-18,49
2021-05-19,31
2021-05-20,50
2021-05-21,50
2021-05-22,31
2021-05-24,46
2021-05-25,41
2021-05-26,48
2021-05-27,48
2021-05-28,44
2021-05-29,36
2021-05-31,42
2021-06-01,58
2021-06-02,39
2021-06-03,53
2021-06-04,45
2021-06-05,42
2021-06-07,57
2021-06-08,46
2021-06-09,38
2021-06-10,38
2021-06-11,44
2021-06-12,36
2021-06-14,41
2021-06-15,36
2021-06-16,36
2021-06-17,44
2021-06-18,48
2021-06-19,27
2021-06-21,41
2021-06-22,55
2021-06-23,36
2021-06-24,49
2021-06-25,42
2021-06-26,26
2021-06-28,42
2021-06-29,54
2021-06-30,44
2021-07-01,52
2021-07-02,42
2021-07-03,45
2021-07-05,46
2021-07-06,49
2021-07-07,47
2021-07-08,35
2021-07-09,54
2021-07-10,34
2021-07-12,46
2021-07-13,39
2021-07-14,44
2021-07-15,44
2021-07-16,52
2021-07-17,40
2021-07-18,3
2021-07-19,47
2021-07-20,50
2021-07-21,37
2021-07-22,48
2021-07-23,49
2021-07-24,34
2021-07-26,48
2021-07-27,52
2021-07-28,53
2021-07-29,42
2021-07-30,42
2021-07-31,40
2021-08-02,39
2021-08-03,48
2021-08-04,53
2021-08-05,47
2021-08-06,30
2021-08-07,27
2021-08-09,65
2021-08-10,45
2021-08-11,48
2021-08-12,58
2021-08-13,45
2021-08-14,36
2021-08-16,48
2021-08-17,45
2021-08-18,49
2021-08-19,65
2021-08-20,46
2021-08-21,52
2021-08-23,44
2021-08-24,53
2021-08-25,45
2021-08-26,37
2021-08-27,36
2021-08-28,43
2021-08-29,0
2021-08-30,62
2021-08-31,57
2021-09-01,45
2021-09-02,45
2021-09-03,56
2021-09-04,40
2021-09-05,4
2021-09-06,56
2021-09-07,44
2021-09-08,58
2021-09-09,42
2021-09-10,43
2021-09-11,44
2021-09-13,76
2021-09-14,55
2021-09-15,62
2021-09-16,56
2021-09-17,58
2021-09-18,41
2021-09-20,42
2021-09-21,71
2021-09-22,50
2021-09-23,71
2021-09-24,40
2021-09-25,40
2021-09-27,61
2021-09-28,65
2021-09-29,55
2021-09-30,36
2021-10-01,59
2021-10-02,54
2021-10-04,57
2021-10-05,53
2021-10-06,55
2021-10-07,71
2021-10-08,60
2021-10-09,55
2021-10-11,50
2021-10-12,65
2021-10-13,45
2021-10-14,66
2021-10-15,48
2021-10-16,49
2021-10-18,56
2021-10-19,57
2021-10-20,54
2021-10-21,55
2021-10-22,56
2021-10-23,39
2021-10-25,52
2021-10-26,55
2021-10-27,54
2021-10-28,55
2021-10-29,62
2021-10-30,37
2021-11-01,50
2021-11-02,57
2021-11-03,51
2021-11-04,54
2021-11-05,45
2021-11-06,34
2021-11-08,52
2021-11-09,53
2021-11-10,59
2021-11-11,57
2021-11-12,51
2021-11-13,33
2021-11-15,60
2021-11-16,59
2021-11-17,49
2021-11-18,48
2021-11-19,37
2021-11-20,37
2021-11-22,45
2021-11-23,55
2021-11-24,48
2021-11-25,53
2021-11-26,55
2021-11-27,49
2021-11-29,50
2021-11-30,46
2021-12-01,58
2021-12-02,37
2021-12-03,51
2021-12-04,32
2021-12-06,55
2021-12-07,65
2021-12-08,46
2021-12-09,51
2021-12-10,46
2021-12-11,32
2021-12-13,60
2021-12-14,45
2021-12-15,47
2021-12-16,59
2021-12-17,40
2021-12-18,33
2021-12-20,42
2021-12-21,56
2021-12-22,53
2021-12-23,40
2021-12-24,55
2021-12-25,52
2021-12-27,47
2021-12-28,51
2021-12-29,59
2021-12-30,44
2021-12-31,51
2022-01-01,33
2022-01-02,1
2022-01-03,48
2022-01-04,44
2022-01-05,44
2022-01-06,66
2022-01-07,42
2022-01-08,36
2022-01-10,48
2022-01-11,48
2022-01-12,50
2022-01-13,45
2022-01-14,43
2022-01-15,32
2022-01-16,6
2022-01-17,39
2022-01-18,48
2022-01-19,48
2022-01-20,55
2022-01-21,49
2022-01-22,31
2022-01-23,5
2022-01-24,55
2022-01-25,55
2022-01-26,41
2022-01-27,49
2022-01-28,42
2022-01-29,41
2022-01-31,49
2022-02-01,46
2022-02-02,54
2022-02-03,31
2022-02-04,47
2022-02-05,48
2022-02-07,50
2022-02-08,36
2022-02-09,53
2022-02-10,42
2022-02-11,56
2022-02-12,34
2022-02-14,45
2022-02-15,50
2022-02-16,49
2022-02-17,55
2022-02-18,48
2022-02-19,32
2022-02-21,52
2022-02-22,37
2022-02-23,52
2022-02-24,58
2022-02-25,40
2022-02-26,30
2022-02-28,45
2022-03-01,57
2022-03-02,49
2022-03-03,38
2022-03-04,48
2022-03-05,33
2022-03-07,42
2022-03-08,57
2022-03-09,55
2022-03-10,53
2022-03-11,35
2022-03-12,36
2022-03-13,2
2022-03-14,31
2022-03-15,39
2022-03-16,66
2022-03-17,50
2022-03-18,39
2022-03-19,33
2022-03-21,36
2022-03-22,45
2022-03-23,56
2022-03-24,38
2022-03-25,37
2022-03-26,25
2022-03-28,52
2022-03-29,43
2022-03-30,39
2022-03-31,36
2022-04-01,35
2022-04-02,43
2022-04-04,38
2022-04-05,42
2022-04-06,36
2022-04-07,39
2022-04-08,38
2022-04-09,26
2022-04-11,43
2022-04-12,39
2022-04-13,49
2022-04-14,41
2022-04-15,36
2022-04-16,29
2022-04-18,40
2022-04-19,50
2022-04-20,36
2022-04-21,50
2022-04-22,29
2022-04-23,33
2022-04-25,39
2022-04-26,41
2022-04-27,41
2022-04-28,49
2022-04-29,34
2022-04-30,40
2022-05-02,44
2022-05-03,45
2022-05-04,44
2022-05-05,33
2022-05-06,39
2022-05-07,30
2022-05-09,42
2022-05-10,52
2022-05-11,43
2022-05-12,49
2022-05-13,36
2022-05-14,22
2022-05-16,47
2022-05-17,37
2022-05-18,41
2022-05-19,40
2022-05-20,46
2022-05-21,37
2022-05-23,44
2022-05-24,40
2022-05-25,42
2022-05-26,43
2022-05-27,44
2022-05-28,27
2022-05-30,39
2022-05-31,49
2022-06-01,55
2022-06-02,41
2022-06-03,33
2022-06-04,33
2022-06-06,42
2022-06-07,47
2022-06-08,38
2022-06-09,54
2022-06-10,54
2022-06-11,27
2022-06-13,50
2022-06-14,53
2022-06-15,53
2022-06-16,32
2022-06-17,64
2022-06-18,36
2022-06-20,54
2022-06-21,45
2022-06-22,56
2022-06-23,32
2022-06-24,35
2022-06-25,29
2022-06-26,3
2022-06-27,41
2022-06-28,49
2022-06-29,44
2022-06-30,45
2022-07-01,44
2022-07-02,35
2022-07-04,52
2022-07-05,55
2022-07-06,36
2022-07-07,52
2022-07-08,47
2022-07-09,41
2022-07-11,42
2022-07-12,53
2022-07-13,41
2022-07-14,56
2022-07-15,50
2022-07-16,35
2022-07-18,59
2022-07-19,42
2022-07-20,58
2022-07-21,51
2022-07-22,46
2022-07-23,32
2022-07-25,54
2022-07-26,46
2022-07-27,58
2022-07-28,41
2022-07-29,43
2022-07-30,39
2022-08-01,55
2022-08-02,47
2022-08-03,43
2022-08-04,50
2022-08-05,51
2022-08-06,46
2022-08-07,3
2022-08-08,53
2022-08-09,53
2022-08-10,52
2022-08-11,41
2022-08-12,52
2022-08-13,42
2022-08-15,50
2022-08-16,45
2022-08-17,40
2022-08-18,50
2022-08-19,57
2022-08-20,36
2022-08-22,52
2022-08-23,57
2022-08-24,59
2022-08-25,56
2022-08-26,42
2022-08-27,45
2022-08-29,61
2022-08-30,42
2022-08-31,59
2022-09-01,52
2022-09-02,50
2022-09-03,46
2022-09-05,55
2022-09-06,58
2022-09-07,66
2022-09-08,43
2022-09-09,51
2022-09-10,52
2022-09-12,54
2022-09-13,60
2022-09-14,50
2022-09-15,53
2022-09-16,47
2022-09-17,40
2022-09-19,52
2022-09-20,61
2022-09-21,64
2022-09-22,50
2022-09-23,56
2022-09-24,48
2022-09-26,62
2022-09-27,60
2022-09-28,55
2022-09-29,50
2022-09-30,49
2022-10-01,41
2022-10-03,61
2022-10-04,58
2022-10-05,62
2022-10-06,52
2022-10-07,53
2022-10-08,44
2022-10-10,49
2022-10-11,27
2022-10-12,38
2022-10-13,56
2022-10-14,49
2022-10-15,52
2022-10-17,48
2022-10-18,52
2022-10-19,59
2022-10-20,66
2022-10-21,65
2022-10-22,42
2022-10-24,40
2022-10-25,53
2022-10-26,72
2022-10-27,52
2022-10-28,52
2022-10-29,49
2022-10-31,57
2022-11-01,56
2022-11-02,57
2022-11-03,53
2022-11-04,39
2022-11-05,55
2022-11-07,49
2022-11-08,77
2022-11-09,54
2022-11-10,50
2022-11-11,46
2022-11-12,62
2022-11-14,61
2022-11-15,52
2022-11-16,52
2022-11-17,58
2022-11-18,58
2022-11-19,53
2022-11-21,53
2022-11-22,54
2022-11-23,50
2022-11-24,57
2022-11-25,54
2022-11-26,48
2022-11-28,54
2022-11-29,50
2022-11-30,45
2022-12-01,58
2022-12-02,52
2022-12-03,36
2022-12-05,60
2022-12-06,60
2022-12-07,45
2022-12-08,57
2022-12-09,49
2022-12-10,36
2022-12-12,57
2022-12-13,51
2022-12-14,50
2022-12-15,53
2022-12-16,35
2022-12-17,42
2022-12-19,49
2022-12-20,66
2022-12-21,51
2022-12-22,39
2022-12-23,59
2022-12-24,37
2022-12-25,5
2022-12-26,52
2022-12-27,44
2022-12-28,37
2022-12-29,65
2022-12-30,42
2022-12-31,59
2023-01-02,50
2023-01-03,61
2023-01-04,59
2023-01-05,56
2023-01-06,39
2023-01-07,50
2023-01-09,54
2023-01-10,62
2023-01-11,56
2023-01-12,63
2023-01-13,45
2023-01-14,38
2023-01-16,53
2023-01-17,38
2023-01-18,56
2023-01-19,47
2023-01-20,40
2023-01-21,43
2023-01-23,60
2023-01-24,54
2023-01-25,39
2023-01-26,45
2023-01-27,46
2023-01-28,36
2023-01-30,66
2023-01-31,43
2023-02-01,45
2023-02-02,56
2023-02-03,36
2023-02-04,35
2023-02-06,42
2023-02-07,45
2023-02-08,43
2023-02-09,51
2023-02-10,56
2023-02-11,47
2023-02-13,44
2023-02-14,46
2023-02-15,56
2023-02-16,42
2023-02-17,41
2023-02-18,29
2023-02-20,46
2023-02-21,51
2023-02-22,36
2023-02-23,50
2023-02-24,36
2023-02-25,48
2023-02-27,38
2023-02-28,48
2023-03-01,44
2023-03-02,45
2023-03-03,48
2023-03-04,27
2023-03-06,54
2023-03-07,44
2023-03-08,51
2023-03-09,47
2023-03-10,41
2023-03-11,27
2023-03-13,48
2023-03-14,43
2023-03-15,40
2023-03-16,54
2023-03-17,60
2023-03-18,34
2023-03-19,3
2023-03-20,49
2023-03-21,48
2023-03-22,45
2023-03-23,38
2023-03-24,43
2023-03-25,47
2023-03-26,2
2023-03-27,51
2023-03-28,55
2023-03-29,41
2023-03-30,50
2023-03-31,25
2023-04-01,30
2023-04-03,50
2023-04-04,45
2023-04-05,38
2023-04-06,54
2023-04-07,36
2023-04-08,23
2023-04-10,40
2023-04-11,34
2023-04-12,42
2023-04-13,47
2023-04-14,33
2023-04-15,33
2023-04-17,44
2023-04-18,44
2023-04-19,46
2023-04-20,45
2023-04-21,45
2023-04-22,37
2023-04-24,44
2023-04-25,42
2023-04-26,43
2023-04-27,33
2023-04-28,45
2023-04-29,40
2023-04-30,4
2023-05-01,50
2023-05-02,42
2023-05-03,51
2023-05-04,41
2023-05-05,37
2023-05-06,37
2023-05-08,37
2023-05-09,42
2023-05-10,37
2023-05-11,42
2023-05-12,44
2023-05-13,38
2023-05-14,6
2023-05-15,39
2023-05-16,42
2023-05-17,58
2023-05-18,49
2023-05-19,37
2023-05-20,45
2023-05-21,1
2023-05-22,34
2023-05-23,46
2023-05-24,54
2023-05-25,44
2023-05-26,47
2023-05-27,39
2023-05-29,41
2023-05-30,48
2023-05-31,42
2023-06-01,41
2023-06-02,50
2023-06-03,41
2023-06-05,45
2023-06-06,49
2023-06-07,49
2023-06-08,37
2023-06-09,46
2023-06-10,35
2023-06-12,41
2023-06-13,53
2023-06-14,54
2023-06-15,51
2023-06-16,36
2023-06-17,45
2023-06-18,5
2023-06-19,53
2023-06-20,58
2023-06-21,59
2023-06-22,44
2023-06-23,43
2023-06-24,46
2023-06-26,50
2023-06-27,41
2023-06-28,46
2023-06-29,53
2023-06-30,53
2023-07-01,27
2023-07-03,58
2023-07-04,53
2023-07-05,53
2023-07-06,48
2023-07-07,54
2023-07-08,42
2023-07-10,48
2023-07-11,48
2023-07-12,45
2023-07-13,43
2023-07-14,40
2023-07-15,35
2023-07-17,36
2023-07-18,52
2023-07-19,42
2023-07-20,54
2023-07-21,53
2023-07-22,39
2023-07-24,48
2023-07-25,55
2023-07-26,50
2023-07-27,40
2023-07-28,40
2023-07-29,36
2023-07-31,48
2023-08-01,40
2023-08-02,56
2023-08-03,61
2023-08-04,57
2023-08-05,27
2023-08-07,57
2023-08-08,50
2023-08-09,55
2023-08-10,47
2023-08-11,42
2023-08-12,35
2023-08-13,5
2023-08-14,41
2023-08-15,54
2023-08-16,53
2023-08-17,56
2023-08-18,65
2023-08-19,50
2023-08-20,3
2023-08-21,46
2023-08-22,56
2023-08-23,49
2023-08-24,47
2023-08-25,37
2023-08-26,49
2023-08-28,51
2023-08-29,54
2023-08-30,58
2023-08-31,59
2023-09-01,60
2023-09-02,42
2023-09-04,45
2023-09-05,57
2023-09-06,49
2023-09-07,50
2023-09-08,49
2023-09-09,46
2023-09-10,3
2023-09-11,46
2023-09-12,69
2023-09-13,58
2023-09-14,50
2023-09-15,61
2023-09-16,25
2023-09-18,62
2023-09-19,62
2023-09-20,52
2023-09-21,58
2023-09-22,46
2023-09-23,47
2023-09-25,64
2023-09-26,72
2023-09-27,56
2023-09-28,50
2023-09-29,56
2023-09-30,47
2023-10-02,54
2023-10-03,60
2023-10-04,61
2023-10-05,63
2023-10-06,81
2023-10-07,51
2023-10-09,44
2023-10-10,68
2023-10-11,64
2023-10-12,48
2023-10-13,62
2023-10-14,45
2023-10-16,42
2023-10-17,55
2023-10-18,57
2023-10-19,56
2023-10-20,36
2023-10-21,40
2023-10-23,63
2023-10-24,58
2023-10-25,58
2023-10-26,60
2023-10-27,42
2023-10-28,54
2023-10-30,49
2023-10-31,56
2023-11-01,60
2023-11-02,57
2023-11-03,52
2023-11-04,42
